accidentDay;district;streetName;accidentType;mainAccidentCause;totalParticipantsAmount;latitude;longitude;Count_Без ушкоджень;Count_Загинув;Count_Легко травмований;Count_Тяжко травмований;Is_Intersection;Year;Month;DayOfWeek;Hour;settlement_grouped;Simple_Type;Simple_Cause
вівторок;Личаківський;Зелена;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування , перевищення безпечної швидкості;2;49.830699;24.043386;1;0;1;0;0;2018;5;1;10;Львів;Наїзд на пішохода;Порушення маневрування
четвер;Сихівський;Стрийська;наїзд на пішохода - пішохід рухався у попутному напрямку;перехід у невстановленому місці;2;49.788233;24.015105;1;0;1;0;0;2018;5;3;15;Львів;Наїзд на пішохода;Інше
четвер;Галицький;Городоцька;зіткнення бокове;недодержання дистанції;3;49.843085;24.021242;2;0;1;0;0;2018;5;3;22;Львів;Зіткнення автомобілів;Недотримання дистанції
четвер;Сихівський;Зелена;зіткнення бокове;порушення правил маневрування;3;49.818271;24.058599;1;0;2;0;1;2018;5;3;1;Львів;Зіткнення автомобілів;Порушення маневрування
неділя;Личаківський;Зелена;наїзд на інші види перешкод;перевищення безпечної швидкості;2;49.825429;24.047323;0;1;1;0;0;2018;4;6;19;Львів;Наїзд на перешкоду;Перевищення швидкості
вівторок;Залізничний;Городоцька;зіткнення бокове;порушення правил маневрування;4;49.829125;23.960136;1;0;3;0;0;2018;5;1;20;Львів;Зіткнення автомобілів;Порушення маневрування
субота;Франківський;Наукова;зіткнення бокове;порушення правил маневрування;4;49.804968;23.988814;2;0;2;0;0;2018;6;5;22;Львів;Зіткнення автомобілів;Порушення маневрування
середа;Сихівський;Морозна;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.795976;24.068953;1;0;1;0;0;2018;5;2;14;Львів;Наїзд на пішохода;Порушення маневрування
середа;Галицький;Листопадового Чину;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.839197;24.018184;0;0;2;0;0;2018;5;2;19;Львів;Наїзд на пішохода;Перевищення швидкості
неділя;Шевченківський;Шевченка Т.;зіткнення бокове;перевищення безпечної швидкості;2;49.868429;23.951091;0;1;1;0;0;2018;4;6;3;Львів;Зіткнення автомобілів;Перевищення швидкості
вівторок;Залізничний;Шевченка Т.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.846697;24.004412;1;0;1;0;0;2018;5;1;22;Львів;Наїзд на пішохода;Перевищення швидкості
неділя;Залізничний;Петлюри С.;наїзд на інші види перешкод;недодержання дистанції;2;49.817036;23.982334;0;0;2;0;0;2018;5;6;20;Львів;Наїзд на перешкоду;Недотримання дистанції
четвер;Галицький;Фурманська;наїзд на пішохода - пішохід рухався у попутному напрямку;перевищення безпечної швидкості;2;49.843642;24.025018;1;0;0;1;0;2018;4;3;21;Львів;Наїзд на пішохода;Перевищення швидкості
